,product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count
0,B07JW9H4J1,Wayona Nylon Braided,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399,1099,64,4.2,24269
1,B098NS6PVG,Ambrane Unbreakable ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199,349,43,4.0,43994
2,B096MSW6CT,Sounce Fast Phone Ch,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199,1899,90,3.9,7928
3,B08HDJ86NZ,boAt Deuce USB 300 2,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,329,699,53,4.2,94363
4,B08CF3B7N1,Portronics Konnect L,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,154,399,61,4.2,16905
5,B08Y1TFSP6,pTron Solero TB301 3,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,149,1000,85,3.9,24871
6,B08WRWPM22,boAt Micro USB 55 Ta,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,176.63,499,65,4.1,15188
7,B08DDRGWTJ,MI Usb Type-C Cable ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,229,299,23,4.3,30411
8,B008IFXQFU,TP-Link USB WiFi Ada,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,499,999,50,4.2,179691
9,B082LZGK39,Ambrane Unbreakable ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199,299,33,4.0,43994
10,B08CF3D7QR,Portronics Konnect L,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,154,339,55,4.3,13391
11,B0789LZTCJ,boAt Rugged v3 Extra,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299,799,63,4.2,94363
12,B07KSMBL2H,AmazonBasics Flexibl,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",219,700,69,4.4,426973
13,B085DTN6R2,Portronics Konnect C,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,350,899,61,4.2,2262
14,B09KLVMZ3B,Portronics Konnect L,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,159,399,60,4.1,4768
15,B083342NKJ,MI Braided USB Type-,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,349,399,13,4.4,18757
16,B0B6F7LX4C,MI 80 cm (32 inches),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",13999,24999,44,4.2,32840
17,B082LSVT4B,Ambrane Unbreakable ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,249,399,38,4.0,43994
18,B08WRBG3XW,boAt Type C A325 Tan,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199,499,60,4.1,13045
19,B08DPLCM6T,LG 80 cm (32 inches),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",13490,21990,39,4.3,11976
20,B09C6HXFC1,Duracell USB Lightni,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,970,1799,46,4.5,815
21,B085194JFL,tizum HDMI to VGA Ad,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",279,499,44,3.7,10962
22,B09F6S8BT6,Samsung 80 cm (32 In,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",13490,22900,41,4.3,16299
23,B09NHVCHS9,Flix Micro Usb Cable,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,59,199,70,4.0,9378
24,B0B1YVCJ2Y,Acer 80 cm (32 inche,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",11499,19990,42,4.3,4703
25,B01M4GGIVU,Tizum High Speed HDM,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",199,699,72,4.2,12153
26,B08B42LWKN,OnePlus 80 cm (32 in,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",14999,19999,25,4.2,34899
27,B094JNXNPV,Ambrane Unbreakable ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299,399,25,4.0,2766
28,B09W5XR9RT,Duracell USB C To Li,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,970,1999,51,4.4,184
29,B077Z65HSD,boAt A400 USB Type-C,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299,999,70,4.3,20850
30,B00NH11PEY,AmazonBasics USB 2.0,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199,750,73,4.5,74976
31,B09CMM3VGK,Ambrane 60W / 3A Typ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,179,499,64,4.0,1934
32,B08QSC1XY8,Zoul USB C 60W Fast ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,389,1099,65,4.3,974
33,B008FWZGSG,Samsung Original Typ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,599,599,0,4.3,355
34,B0B4HJNPV4,pTron Solero T351 3.,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199,999,80,3.9,1075
35,B08Y1SJVV5,pTron Solero MB301 3,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,99,666.66,85,3.9,24871
36,B07XLCFSSN,Amazonbasics Nylon B,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,899,1900,53,4.4,13552
37,B09RZS1NQT,Sounce 65W OnePlus D,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199,999,80,4.0,576
38,B0B3MMYHYW,OnePlus 126 cm (50 i,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",32999,45999,28,4.2,7298
39,B09C6HWG18,Duracell Type C To T,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,970,1999,51,4.2,462
40,B00NH11KIK,AmazonBasics USB 2.0,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,209,695,70,4.5,107687
41,B09JPC82QC,Mi 108 cm (43 inches,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",19999,34999,43,4.3,27151
42,B07JW1Y6XV,Wayona Nylon Braided,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399,1099,64,4.2,24269
43,B07KRCW6LZ,TP-Link Nano AC600 U,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,999,1599,38,4.3,12093
44,B09NJN8L25,FLiX (Beetel USB to ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,59,199,70,4.0,9378
45,B07XJYYH7L,Wecool Nylon Braided,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,333,999,67,3.3,9792
46,B002PD61Y4,D-Link DWA-131 300 M,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,507,1208,58,4.1,8131
47,B014I8SSD0,Amazon Basics High-S,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",309,475,35,4.4,426973
48,B09L8DSSFH,7SEVEN® Compatible f,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",399,999,60,3.6,493
49,B07232M876,Amazonbasics Micro U,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199,395,50,4.2,92595
50,B07P681N66,TP-Link AC600 600 Mb,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,1199,2199,45,4.4,24780
51,B0711PVX6Z,AmazonBasics Micro U,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,179,500,64,4.2,92595
52,B082T6V3DT,AmazonBasics New Rel,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,799,2100,62,4.3,8188
53,B07MKFNHKG,VW 80 cm (32 inches),"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions",6999,12999,46,4.2,4003
54,B0BFWGBX61,Ambrane Unbreakable ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199,349,43,4.1,314
55,B01N90RZ4M,Tata Sky Universal R,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",230,499,54,3.7,2960
56,B0088TKTY2,TP-LINK WiFi Dongle ,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,649,1399,54,4.2,179691
57,B09Q5SWVBJ,OnePlus 80 cm (32 in,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",15999,21999,27,4.2,34899
