"Unnamed: 0","State_UT","District","Population","Male","Female","Literate","Literate_Male","Literate_Female","Rural_Households","Urban_Households","Households","Young_and_Adult","Middle_Aged","Senior_Citizen","Age_Not_Stated"
0,"JAMMU and KASHMIR","Kupwara","870354","474190",396164,"439654",282823,156831,158438,"23226",181664,600759,178435,"89679",1481
1,"JAMMU and KASHMIR","Badgam","753745","398041",355704,"335649",207741,127908,160649,"27190",187839,503223,160933,"88978",611
2,"JAMMU and KASHMIR","Leh(Ladakh)","133487","78971",54516,"93770",62834,30936,36920,"17474",54394,70703,41515,"104549",250
3,"JAMMU and KASHMIR","Kargil","140802","77785",63017,"86236",56301,29935,40370,"7774",48144,87532,35561,"17488",221
4,"JAMMU and KASHMIR","Punch","476835","251899",224936,"261724",163333,98391,132139,"15269",147408,304979,109818,"61334",704
5,"JAMMU and KASHMIR","Rajouri","642415","345351",297064,"364109",224469,139640,196070,"17508",213578,404903,153165,"83319",1028
6,"JAMMU and KASHMIR","Kathua","616435","326109",290326,"389204",228499,160705,181374,"33473",214847,357864,160123,"97684",764
7,"JAMMU and KASHMIR","Baramula","1008039","534733",473306,"545149",337170,207979,210543,"48932",259475,636524,239659,"130513",1343
12,"JAMMU and KASHMIR","Shupiyan","266215","136480",129735,"136500",80355,56145,75616,"5272",80888,170086,60752,"35158",219
13,"JAMMU and KASHMIR","Anantnag","1078692","559767",518925,"545532",324417,221115,207067,"70666",277733,704145,239988,"133519",1040
14,"JAMMU and KASHMIR","Kulgam","424483","217620",206863,"209085",125052,84033,95952,"25178",121130,266858,99870,"57253",502
16,"JAMMU and KASHMIR","Ramban","283713","149132",134581,"124065",82938,41127,84281,"5341",89622,188526,61604,"157154",363
18,"JAMMU and KASHMIR","Udhampur","554985","296784",258201,"322354",197543,124811,148664,"34696",183360,339145,140785,"74757",298
20,"JAMMU and KASHMIR","Jammu","1529958","813821",716137,"1137135",641916,495219,254566,"248043",502609,816827,435895,"275585",1651
21,"JAMMU and KASHMIR","Samba","318898","169124",149774,"228139",130312,97827,94247,"19989",114236,177277,88246,"53022",353
22,"HIMACHAL PRADESH","Chamba","519080","261320",257760,"323842",186064,137778,186395,"13836",200231,306555,130606,"81566",353
23,"HIMACHAL PRADESH","Kangra","1510075","750591",759484,"1152640",606443,546197,588321,"39007",627328,766581,419172,"319420",4902
25,"HIMACHAL PRADESH","Kullu","437903","225452",212451,"307672",174550,133122,167995,"20709",188704,244727,120510,"72282",384
26,"HIMACHAL PRADESH","Mandi","999777","498065",501712,"723747",393669,330078,431129,"31696",462825,524285,279321,"194661",1510
27,"HIMACHAL PRADESH","Hamirpur","454768","217070",237698,"358091",180555,177536,196116,"15232",211348,224044,123941,"106641",142
28,"HIMACHAL PRADESH","Una","521173","263692",257481,"399715",213281,186434,185091,"20126",205217,273223,142351,"105358",241
29,"HIMACHAL PRADESH","Bilaspur","381956","192764",189192,"287620",155599,132021,152458,"11987",164445,193671,107367,"80497",421
32,"HIMACHAL PRADESH","Shimla","814010","425039",388971,"612642",342846,269796,279269,"95896",375165,425721,241956,"145577",756
