District Name,Rural/Urban,Total Number of households,Total Number of Livable,Total Number of Dilapidated,Latrine_premise
Kupwara,Rural,100,58.1,8.3,48.9
Kupwara,Total,100,57.3,7.9,50.9
Kupwara,Urban,100,49.5,4.8,70.2
Badgam,Rural,100,46.3,3.9,83.3
Badgam,Total,100,44.7,3.8,84.3
Badgam,Urban,100,33.8,2.6,90.4
Leh(Ladakh),Rural,100,51.5,2.1,88.1
Leh(Ladakh),Total,100,52.4,1.8,90.4
Leh(Ladakh),Urban,100,54.6,1.1,95.8
Kargil,Rural,100,73.3,3.5,96.8
Kargil,Total,100,72.6,3.2,96.9
Kargil,Urban,100,68.8,1.2,97.5
Punch,Rural,100,59.5,2.4,13.7
Punch,Total,100,56.9,2.3,18.7
Punch,Urban,100,27.3,0.8,75.3
Rajouri,Rural,100,52.9,2.7,10.2
Rajouri,Total,100,51,2.6,14.3
Rajouri,Urban,100,18.6,1.7,85.5
Kathua,Rural,100,36.7,3.5,14.2
Kathua,Total,100,35.3,3.4,22.1
Kathua,Urban,100,27,3.1,67.1
Baramula,Rural,100,46.1,5.3,74.3
Baramula,Total,100,44,5.2,77.6
Baramula,Urban,100,34,5,92.5
Bandipore,Rural,100,53.7,7.4,70.1
Bandipore,Total,100,50,6.9,74
Bandipore,Urban,100,31,4.3,94.3
Srinagar,Rural,100,38.4,6.3,88.7
Srinagar,Total,100,23.5,2.2,97.9
Srinagar,Urban,100,23.2,2.2,98.1
Ganderbal,Rural,100,47.4,9.5,69.5
Ganderbal,Total,100,43.5,8.8,72.8
Ganderbal,Urban,100,22,4.5,91.3
Pulwama,Rural,100,43,4.6,62.7
Pulwama,Total,100,42.9,4.4,66.3
Pulwama,Urban,100,42.4,3,91.1
Shupiyan,Rural,100,33.2,5.9,59
Shupiyan,Total,100,33.3,5.7,61.1
Shupiyan,Urban,100,34.4,3.3,94.8
Anantnag,Rural,100,43.3,5.1,50.8
Anantnag,Total,100,39.8,4.7,56.6
Anantnag,Urban,100,28.5,3.1,75.5
Kulgam,Rural,100,49,4.7,41.7
Kulgam,Total,100,47.7,4.6,44.9
Kulgam,Urban,100,42,4.2,58.5
Doda,Rural,100,60,1.6,24
Doda,Total,100,57.2,1.7,29.3
Doda,Urban,100,23.7,2.9,93.4
Ramban,Rural,100,51.5,2.1,17.8
Ramban,Total,100,50.3,2.1,20.1
Ramban,Urban,100,19.3,2.4,82.7
Kishtwar,Rural,100,52,3.4,20
Kishtwar,Total,100,49.8,3.3,24.2
Kishtwar,Urban,100,13.5,0.7,93.4
Udhampur,Rural,100,44.7,2,7.4
Udhampur,Total,100,39.9,2,19.3
Udhampur,Urban,100,17,1.8,75.1
Reasi,Rural,100,54.9,1.5,9
Reasi,Total,100,53.5,1.4,15.2
Reasi,Urban,100,39.5,1.1,78.8
Jammu,Rural,100,38.4,4.9,24.6
Jammu,Total,100,30.8,4.2,53.8
Jammu,Urban,100,22.6,3.4,84.9
Samba,Rural,100,30.5,3.3,26
Samba,Total,100,28.5,3,32.9
Samba,Urban,100,17.8,1.1,70.7
Chamba,Rural,100,38,2.3,48.8
Chamba,Total,100,36.6,2.2,51.5
Chamba,Urban,100,18.6,0.7,87
Kangra,Rural,100,25.3,1.4,64.4
Kangra,Total,100,25,1.4,65.5
Kangra,Urban,100,19,1.6,82.3
Lahul & Spiti,Rural,100,33.7,0.8,78.1
Lahul & Spiti,Total,100,33.7,0.8,78.1
Kullu,Rural,100,27.5,1.2,54.2
Kullu,Total,100,26.1,1.2,58.4
Kullu,Urban,100,15.4,1.3,90.6
Mandi,Rural,100,28,1.6,82
Mandi,Total,100,27.2,1.6,82.7
Mandi,Urban,100,17.3,0.7,92
Hamirpur,Rural,100,21.6,1,89.1
Hamirpur,Total,100,21.3,1,89.3
Hamirpur,Urban,100,17.2,0.6,92.3
Una,Rural,100,25.3,1.4,58.8
Una,Total,100,25.2,1.7,60.3
Una,Urban,100,24.4,4.8,74.6
Bilaspur,Rural,100,26.9,1.3,68.8
Bilaspur,Total,100,26.2,1.3,70.6
Bilaspur,Urban,100,16.9,0.8,93.5
Solan,Rural,100,24.5,1.9,69
Solan,Total,100,23.3,1.8,73.4
Solan,Urban,100,18.7,1.4,89.8
Sirmaur,Rural,100,30.9,2.8,56.9
Sirmaur,Total,100,29.4,2.6,62.1
Sirmaur,Urban,100,19.7,1,96.1
Shimla,Rural,100,24.4,2.3,59.8
Shimla,Total,100,22.7,2,68.3
Shimla,Urban,100,18.1,1.3,90.7
Kinnaur,Rural,100,29.3,1,69.2
Kinnaur,Total,100,29.3,1,69.2
Gurdaspur,Rural,100,49.4,9,50.1
Gurdaspur,Total,100,47.1,7.9,60
Gurdaspur,Urban,100,41.1,5.2,85.6
Kapurthala,Rural,100,41.4,6.1,77.4
Kapurthala,Total,100,38.1,5.4,83.3
Kapurthala,Urban,100,32,4.1,94.1
