"District_Name","RuralandUrban","households","Livable","Dilapidated","Latrine_premise","household_rural","houshold_urban","rural_livable","rural_dilapidated","rural_premise","urban_livable","urban_dilapidated","urban_premise"
"Kupwara","Rural",100,3704253657.1952395,72239.382,425603.10599999997,3704751499.6832395,0.0,3704253657.1952395,72239.382,425603.10599999997,0.0,0.0,0.0
"Kupwara","Total",100,3855756874.25844,68757.966,443010.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kupwara","Urban",100,5317762918.91832,41776.992,610988.508,0.0,5318415684.41832,0.0,0.0,0.0,5317762918.91832,41776.992,610988.508
"Badgam","Rural",100,4732535603.45825,29396.055,627869.585,4733192869.09825,0.0,4732535603.45825,29396.055,627869.585,0.0,0.0,0.0
"Badgam","Total",100,4789348755.96075,28642.309999999998,635407.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Badgam","Urban",100,5135908986.226,19597.370000000003,681385.48,0.0,5136609969.075999,0.0,0.0,0.0,5135908986.226,19597.370000000003,681385.48
"Leh(Ladakh)","Rural",100,156983444.47889,2803.2270000000003,117602.04699999999,157103849.75289,0.0,156983444.47889,2803.2270000000003,117602.04699999999,0.0,0.0,0.0
"Leh(Ladakh)","Total",100,161081763.68776003,2402.766,120672.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Leh(Ladakh)","Urban",100,170703904.43902,1468.3570000000002,127880.546,0.0,170833253.34202,0.0,0.0,0.0,170703904.43902,1468.3570000000002,127880.546
"Kargil","Rural",100,191907967.01472002,4928.070000000001,136296.336,192049191.42072,0.0,191907967.01472002,4928.070000000001,136296.336,0.0,0.0,0.0
"Kargil","Total",100,192106219.04676,4505.664,136437.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kargil","Urban",100,193295731.23899996,1689.624,137281.94999999998,0.0,193434702.81299996,0.0,0.0,0.0,193295731.23899996,1689.624,137281.94999999998
"Punch","Rural",100,311499115.59825,11444.04,65326.39499999999,311575886.03325,0.0,311499115.59825,11444.04,65326.39499999999,0.0,0.0,0.0
"Punch","Total",100,425184924.21075004,10967.205,89168.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Punch","Urban",100,1712108277.70425,3814.6800000000003,359056.755,0.0,1712471149.1392503,0.0,0.0,0.0,1712108277.70425,3814.6800000000003,359056.755
"Rajouri","Rural",100,420950972.8695,17345.205,65526.329999999994,421033844.40449995,0.0,420950972.8695,17345.205,65526.329999999994,0.0,0.0,0.0
"Rajouri","Total",100,590156756.08175,16702.79,91865.34500000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rajouri","Urban",100,3528559625.5237494,10921.055,549264.825,0.0,3529119811.403749,0.0,0.0,0.0,3528559625.5237494,10921.055,549264.825
"Kathua","Rural",100,539588795.0995,21575.225000000002,87533.76999999999,539697904.0945,0.0,539588795.0995,21575.225000000002,87533.76999999999,0.0,0.0,0.0
"Kathua","Total",100,839782561.3872501,20958.79,136232.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kathua","Urban",100,2549747052.8997498,19109.485,413627.88499999995,0.0,2550179790.26975,0.0,0.0,0.0,2549747052.8997498,19109.485,413627.88499999995
"Baramula","Rural",100,7549939707.62103,53426.066999999995,748972.977,7550742106.6650305,0.0,7549939707.62103,53426.066999999995,748972.977,0.0,0.0,0.0
"Baramula","Total",100,7885266774.04296,52418.028000000006,782238.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Baramula","Urban",100,9399319286.06925,50401.950000000004,932436.0750000001,0.0,9400302124.094252,0.0,0.0,0.0,9399319286.06925,50401.950000000004,932436.0750000001
"Bandipore","Rural",100,53.7,7.4,70.1,131.2,0.0,53.7,7.4,70.1,0.0,0.0,0.0
